18,February Odyssey,"20-27 FEBRUARY 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/f1b/775_290_2/7hujimhkypr7j1k3zc6yff12fi0fs8ul.png,https://ineichen.com/auctions/timed-48/,57,-1,N/A,-1,N/A,-1,N/A,-1,N/A,"Timed Auction, Zürich"
19,Top Rolex,"7-19 FEBRUARY 18:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/48b/775_290_2/zzzqlrqm89jxh6ue77un3u3cnp50lfli.png,https://ineichen.com/auctions/timed-47/,50,-1,N/A,-1,N/A,-1,N/A,-1,N/A,"Timed Auction, Zürich"
20,Horological January,"14-30 JANUARY 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/21a/775_290_2/79ui2hi4aqajwpqvgz5ktxuqzzdbytfn.png,https://ineichen.com/auctions/timed-46/,112,-1,N/A,-1,N/A,-1,N/A,-1,N/A,"Timed Auction, Zürich"
21,Independents 2023 Part 2: Christmas Edition,"9-22 DECEMBER 16:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/06f/775_290_2/gsiwcrlbi0g316a3k2rfwggpqsdknl1o.jpg,https://ineichen.com/auctions/timed-45/,50,-1,N/A,-1,N/A,-1,N/A,-1,N/A,"Timed Auction, Zürich"
22,Ineichen's 50th Anniversary,"9 DEC, 14:00 (CET) Live Auction, Metropol, Fraumünsterstrasse 12, CH-8001 Zürich",https://ineichen.com/upload/resize_cache/iblock/001/775_290_2/qozpyskt4moouer3r3ddx71lybidcksk.jpg,https://ineichen.com/auctions/special-12/,50,9,DEC,-1,14:00 (CET),-1,N/A,-1,N/A,"Live Auction, Metropol, Fraumünsterstrasse 12, CH-8001 Zürich"
23,Timed Pieces,"Take a look at auction results & hammer prices for the recently sold timepieces from our auction that never ends Timed Auction, Zurich",https://ineichen.com/upload/resize_cache/iblock/690/775_290_2/wwuioe3798vw23ehbyxhksq58j3vxacf.jpg,https://ineichen.com/auctions/timed-71/,437,-1,N/A,-1,N/A,-1,N/A,-1,N/A,"Timed Auction, Zurich"
24,Watches Under CHF 10'000,"4 NOV, 15:00 CET 16 NOV, 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/147/775_290_2/8ue9p2sy5h1n9jbdjv6w7njmvy11daab.jpg,https://ineichen.com/auctions/timed-44/,85,4,NOV,-1,15:00 CET,16,NOV,-1,15:00 CET,"Timed Auction, Zürich"
25,October Time,"21 OCT, 15:00 CET 31 OCT, 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/273/775_290_2/gbe8ueki2fgi1ocp9gxn1gvyli8tw6jk.jpg,https://ineichen.com/auctions/timed-43/,67,21,OCT,-1,15:00 CET,31,OCT,-1,15:00 CET,"Timed Auction, Zürich"
26,Patina & Provenance,"6 OCT, 15:00 CET 17 OCT, 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/ffe/775_290_2/ljebygbim1kv5ubq1z55vvz1iz2ar6o3.jpg,https://ineichen.com/auctions/timed-42/,37,6,OCT,-1,15:00 CET,17,OCT,-1,15:00 CET,"Timed Auction, Zürich"
27,Contemporary Luxury Watches: A Private Collection,"28 SEP, 15:00 CET 9 OCT, 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/549/775_290_2/fq919h06eh6w8og5vo5v086kevvbgjvv.jpg,https://ineichen.com/auctions/timed-41/,17,28,SEP,-1,15:00 CET,9,OCT,-1,15:00 CET,"Timed Auction, Zürich"
28,It's a Date: Calendar Watches,"22 SEP, 15:00 CET 3 OCT, 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/95d/775_290_2/bwzetqmxzkgx1e7170at5ubltaqflfze.jpg,https://ineichen.com/auctions/timed-40/,30,22,SEP,-1,15:00 CET,3,OCT,-1,15:00 CET,"Timed Auction, Zürich"
29,The Legacy of Gerald Genta,"16 SEP, 12:00 CET 26 SEP, 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/3bf/775_290_2/paf205rzd6mt1qyn6k90ey8wz43sui8i.jpg,https://ineichen.com/auctions/timed-39/,26,16,SEP,-1,12:00 CET,26,SEP,-1,15:00 CET,"Timed Auction, Zürich"
30,Sport & Elegance,"5 SEP, 15:00 CET 15 SEP, 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/5c8/775_290_2/3mmnep3rww42eunjo0djgvmekhmi9uso.jpg,https://ineichen.com/auctions/timed-38/,20,5,SEP,-1,15:00 CET,15,SEP,-1,15:00 CET,"Timed Auction, Zürich"
31,Konstantin Chaykin x Ineichen,"29 AUG, 13:00 (CET) Live Auction, Geneva",https://ineichen.com/upload/resize_cache/iblock/670/775_290_2/q112lzz30n77777vbm1bdvybyds1uxbe.jpg,https://ineichen.com/auctions/special-11/,15,29,AUG,-1,13:00 (CET),-1,N/A,-1,N/A,"Live Auction, Geneva"
32,The World of F.P. Journe,"22 AUG, 15:00 CET 1 SEP, 15:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/d94/775_290_2/u298ibe7lzfcluyvm34azmd02xgojhbh.jpg,https://ineichen.com/auctions/timed-37/,13,22,AUG,-1,15:00 CET,1,SEP,-1,15:00 CET,"Timed Auction, Zürich"
33,Chronos 2023,"31 JULY, 20:00 CET 13 AUGUST, 20:00 CET Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/c46/775_290_2/m35r3b2t87c34i2fexwf1pqidx37ml95.png,https://ineichen.com/auctions/timed-36/,72,31,JULY,-1,20:00 CET,13,AUGUST,-1,20:00 CET,"Timed Auction, Zürich"
34,Gemstone Symphony,"17 JULY - 30 JULY 2023 Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/028/775_290_2/0oksvl18h1l2xzj8lpx2qglt457002vc.jpg,https://ineichen.com/auctions/timed-35/,46,17,JULY,2023,N/A,30,JULY,2023,N/A,"Timed Auction, Zürich"
35,Vintage and Modern Vintage Watches,"3 JULY - 16 JULY 2023 Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/ed0/775_290_2/dioi4jbve6vwozeydd63rmj03ffuijig.jpg,https://ineichen.com/auctions/timed-34/,45,3,JULY,2023,N/A,16,JULY,2023,N/A,"Timed Auction, Zürich"
36,Tourbillons: Part 1,"12 JUNE - 25 JUNE 2023 Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/f58/775_290_2/eck3ftoatl5pz1k9187tjsofwj92fx8i.jpg,https://ineichen.com/auctions/timed-33/,35,12,JUNE,2023,N/A,25,JUNE,2023,N/A,"Timed Auction, Zürich"
37,Centuries of Time,"26 MAY - 11 JUNE 2023 Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/6d5/775_290_2/y77164uu1t8bv9cwmo4nfzpaoejnxar8.jpg,https://ineichen.com/auctions/timed-32/,10,26,MAY,2023,N/A,11,JUNE,2023,N/A,"Timed Auction, Zürich"
38,Independents 2023,"11 MAY, 14:00 (CET) Live Auction | Hotel President Wilson, Geneva",https://ineichen.com/upload/resize_cache/iblock/8c0/775_290_2/4p6uc2dqshri4wpqacpxphx5xmb3e65i.jpg,https://ineichen.com/auctions/independents/,39,11,MAY,-1,14:00 (CET),-1,N/A,-1,N/A,"Live Auction |  Hotel President Wilson, Geneva"
39,Neo-Vintage Timepieces,"15 - 29 APR 2023 Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/695/775_290_2/jv9gymh2hen7f076l2pq2y3f2cpeamwg.jpg,https://ineichen.com/auctions/timed-30/,22,15,APR,2023,N/A,29,APR,2023,N/A,"Timed Auction, Zürich"
40,The Art of Breguet,"21 MAR 2023 - 4 APR 2023 Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/4a9/775_290_2/h99d9zqie3gu0ptdoq7auvv5lq23mpvo.jpg,https://ineichen.com/auctions/timed-29/,18,21,MAR,2023,N/A,4,APR,2023,N/A,"Timed Auction, Zürich"
41,De Bethune: The Private Collection,"6 FEB 2023 - 20 FEB 2023 Timed Auction, Zürich",https://ineichen.com/upload/resize_cache/iblock/744/775_290_2/vmry09vom2ptbbjn0e954t5j70zljg9a.jpg,https://ineichen.com/auctions/timed-28/,20,6,FEB,2023,N/A,20,FEB,2023,N/A,"Timed Auction, Zürich"
42,Complications: Dates & Calendars,"03 DEC, 14:00 (CET) Live Auction, Zurich",https://ineichen.com/upload/resize_cache/iblock/1a8/775_290_2/6htz2pn8kb6znguq1s22hnv491aeo5wk.jpg,https://ineichen.com/auctions/special-10/,54,3,DEC,-1,14:00 (CET),-1,N/A,-1,N/A,"Live Auction, Zurich"
43,Contemporary Independents,"5 NOV 2022 - 19 NOV 2022 Timed Auction, Zurich",https://ineichen.com/upload/resize_cache/iblock/875/775_290_2/x7so3cb40lad32fcqv71cmff4142c4wy.jpg,https://ineichen.com/auctions/timed-6/,13,5,NOV,2022,N/A,19,NOV,2022,N/A,"Timed Auction, Zurich"
44,Complications: Skeletons & Tourbillons,"29 OCT 2022, 14:00 (CET) Live Auction | Stadthausquai 11, Zurich",https://ineichen.com/upload/resize_cache/iblock/47c/775_290_2/owk1zvhx6c2pgh5zhc3brje66y87ruob.jpg,https://ineichen.com/auctions/special-9/,50,29,OCT,2022,14:00 (CET),-1,N/A,-1,N/A,"Live Auction |  Stadthausquai 11, Zurich"
45,German-Speaking Watches,"1 OCT 2022 - 15 OCT 2022 Timed Auction, Zurich",https://ineichen.com/upload/resize_cache/iblock/8ba/775_290_2/ql73zf0rl3lo723xut3gg5c34gbpt1ff.jpg,https://ineichen.com/auctions/timed-5/,20,1,OCT,2022,N/A,15,OCT,2022,N/A,"Timed Auction, Zurich"
46,Vintage Wristwatches,"17 SEP 2022 - 1 OCT 2022 Timed Auction, Zurich",https://ineichen.com/upload/resize_cache/iblock/bfb/775_290_2/udej4eo1zde193jlf8cdwigwn7uqoym9.png,https://ineichen.com/auctions/timed-3/,71,17,SEP,2022,N/A,1,OCT,2022,N/A,"Timed Auction, Zurich"
47,Modern Wristwatches,"17 SEP 2022 - 1 OCT 2022 Timed Auction, Zurich",https://ineichen.com/upload/resize_cache/iblock/dce/775_290_2/uexse3ccn0axc3f13h47qw8jq7yf9cu0.png,https://ineichen.com/auctions/timed-4/,28,17,SEP,2022,N/A,1,OCT,2022,N/A,"Timed Auction, Zurich"
48,Pocket Watches,"3 SEP 2022 - 17 SEP 2022 Timed Auction, Zurich",https://ineichen.com/upload/resize_cache/iblock/592/775_290_2/1yh0tx7r3c3qfc7r2jnc7k2tbdh5oxn1.jpg,https://ineichen.com/auctions/timed-26/,28,3,SEP,2022,N/A,17,SEP,2022,N/A,"Timed Auction, Zurich"
49,Clocks,"3 SEP 2022 - 17 SEP 2022 Timed Auction, Zurich",https://ineichen.com/upload/resize_cache/iblock/8df/775_290_2/vk7ll4cm9n8m3a9dq002gbw1qqfssce0.jpg,https://ineichen.com/auctions/timed-25/,15,3,SEP,2022,N/A,17,SEP,2022,N/A,"Timed Auction, Zurich"
50,Timepieces and Art: Konstantin Chaykin,"20 AUG 2022 - 30 AUG 2022 Timed Auction, Zurich",https://ineichen.com/upload/resize_cache/iblock/059/775_290_2/6pbxu7v6blhyfakrheo1kg7lcogc9jyh.jpg,https://ineichen.com/auctions/timed-21/,14,20,AUG,2022,N/A,30,AUG,2022,N/A,"Timed Auction, Zurich"
